stem,split,folder,image_path,mask_path,img_shape,mask_shape,mask_values,ok
0959,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0959.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0959.png,"(207, 207, 3)","(207, 207)","[0, 1, 2, 3]",True
0960,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0960.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0960.png,"(137, 137, 3)","(137, 137)","[0, 1, 3]",True
0964,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0964.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0964.png,"(225, 225, 3)","(225, 225)","[0, 2, 3]",True
0965,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0965.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0965.png,"(225, 225, 3)","(225, 225)","[0, 1, 2, 3]",True
0966,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0966.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0966.png,"(171, 171, 3)","(171, 171)","[0, 1, 2, 3]",True
0968,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0968.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0968.png,"(123, 123, 3)","(123, 123)","[0, 1, 2]",True
0969,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0969.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0969.png,"(123, 123, 3)","(123, 123)","[0, 2]",True
0970,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0970.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0970.png,"(181, 181, 3)","(181, 181)","[0, 2, 3]",True
0971,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0971.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0971.png,"(266, 266, 3)","(266, 266)","[0, 1, 2, 3]",True
0972,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0972.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0972.png,"(151, 151, 3)","(151, 151)","[0, 1, 3]",True
0973,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0973.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0973.png,"(217, 217, 3)","(217, 217)","[0, 1, 2, 3]",True
0974,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0974.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0974.png,"(217, 217, 3)","(217, 217)","[0, 1, 2, 3]",True
0975,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0975.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0975.png,"(128, 128, 3)","(128, 128)","[0, 1, 2, 3]",True
0977,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0977.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0977.png,"(163, 163, 3)","(163, 163)","[0, 1, 2, 3]",True
0978,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0978.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0978.png,"(121, 121, 3)","(121, 121)","[0, 1, 2, 3]",True
0979,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0979.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0979.png,"(89, 89, 3)","(89, 89)","[0, 1, 2, 3]",True
0980,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0980.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0980.png,"(89, 89, 3)","(89, 89)","[0, 1, 2, 3]",True
0981,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0981.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0981.png,"(182, 182, 3)","(182, 182)","[0, 2, 3]",True
0982,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0982.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0982.png,"(105, 105, 3)","(105, 105)","[0, 2]",True
0984,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0984.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0984.png,"(171, 171, 3)","(171, 171)","[0, 1, 2, 3]",True
0985,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0985.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0985.png,"(125, 125, 3)","(125, 125)","[0, 1, 2, 3]",True
0986,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0986.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0986.png,"(230, 230, 3)","(230, 230)","[0, 1, 2, 3]",True
0987,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0987.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0987.png,"(130, 130, 3)","(130, 130)","[0, 2, 3]",True
0988,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0988.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0988.png,"(229, 229, 3)","(229, 229)","[0, 1, 2, 3]",True
0990,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0990.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0990.png,"(127, 127, 3)","(127, 127)","[0, 1, 3]",True
0991,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0991.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0991.png,"(127, 127, 3)","(127, 127)","[0, 1, 2]",True
0992,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0992.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0992.png,"(192, 192, 3)","(192, 192)","[0, 1, 2]",True
0993,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0993.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0993.png,"(192, 192, 3)","(192, 192)","[0, 2, 3]",True
0995,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0995.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0995.png,"(86, 86, 3)","(86, 86)","[0, 2, 3]",True
0997,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0997.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0997.png,"(171, 171, 3)","(171, 171)","[0, 1, 2]",True
0998,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0998.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0998.png,"(171, 171, 3)","(171, 171)","[0, 1, 2, 3]",True
1000,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1000.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1000.png,"(127, 127, 3)","(127, 127)","[0, 1, 2, 3]",True
1001,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1001.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1001.png,"(166, 166, 3)","(166, 166)","[0, 1, 2]",True
1002,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1002.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1002.png,"(120, 120, 3)","(120, 120)","[0, 1, 2, 3]",True
1003,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1003.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1003.png,"(120, 120, 3)","(120, 120)","[0, 1, 2]",True
1006,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1006.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1006.png,"(259, 259, 3)","(259, 259)","[0, 1, 2, 3]",True
1007,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1007.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1007.png,"(153, 153, 3)","(153, 153)","[0, 2]",True
1008,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1008.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1008.png,"(117, 117, 3)","(117, 117)",[0],True
1009,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\1009.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\1009.png,"(132, 132, 3)","(132, 132)","[0, 1, 2, 3]",True
0914,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0914.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0914.png,"(92, 92, 3)","(92, 92)","[0, 1, 3]",True
0925,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0925.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0925.png,"(135, 135, 3)","(135, 135)","[0, 2, 3]",True
0927,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0927.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0927.png,"(169, 169, 3)","(169, 169)","[0, 1, 2, 3]",True
0935,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0935.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0935.png,"(134, 134, 3)","(134, 134)","[0, 2, 3]",True
0961,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0961.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0961.png,"(137, 137, 3)","(137, 137)","[0, 1, 2, 3]",True
0962,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0962.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0962.png,"(137, 137, 3)","(137, 137)","[0, 1, 2, 3]",True
0963,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0963.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0963.png,"(137, 137, 3)","(137, 137)","[0, 2, 3]",True
0967,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0967.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0967.png,"(105, 105, 3)","(105, 105)","[0, 2, 3]",True
0976,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0976.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0976.png,"(163, 163, 3)","(163, 163)","[0, 1, 2, 3]",True
0983,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0983.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0983.png,"(105, 105, 3)","(105, 105)","[0, 2, 3]",True
0989,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0989.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0989.png,"(67, 67, 3)","(67, 67)","[0, 1, 3]",True
0994,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0994.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0994.png,"(215, 215, 3)","(215, 215)","[0, 2, 3]",True
0996,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0996.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0996.png,"(122, 122, 3)","(122, 122)","[0, 2, 3]",True
0999,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\0999.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\0999.png,"(171, 171, 3)","(171, 171)","[0, 2, 3]",True
1004,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\1004.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\1004.png,"(120, 120, 3)","(120, 120)","[0, 2, 3]",True
1005,test,Test,data\datasets\dfutissue\Labeled\Original\Images\Test\1005.png,data\datasets\dfutissue\Labeled\Original\Annotations\Test\1005.png,"(120, 120, 3)","(120, 120)","[0, 2, 3]",True
